device_type,scheme,avg_time,avg_cpu,avg_ram,samples,max_key_size,verdict,reason
Android,BIKE-L1,0.016550247222222224,19.726972222222223,0.14199300130208334,360,0.0014700000000000002,Viable,Dentro de umbrales esperados
Android,ClassicMcEliece,0.022514305555555555,23.09777777777778,0.14171272786458333,360,0.249023,Viable,Dentro de umbrales esperados
Android,Diffie-Hellman,0.03306711388888889,24.730694444444442,0.14035430230034723,360,0.002352,Viable,Dentro de umbrales esperados
Android,Diffie-Hellman-8192,1.4647803527777776,24.19838888888889,0.14267751736111112,360,0.002352,No viable,Tiempo 1.465s > 0.3s
Android,FrodoKEM,0.051565700000000006,11.78111111111111,0.14104695638020834,360,0.009171,Viable,Dentro de umbrales esperados
Android,HQC-192,0.026702630555555554,26.06772222222222,0.14180878363715277,360,0.004313,Viable,Dentro de umbrales esperados
Android,Hybrid-Kyber-X25519,0.09165979722222221,21.87177777777778,0.14315660264756944,360,0.00108,Viable,Dentro de umbrales esperados
Android,Kyber,0.016400991666666666,18.746666666666666,0.14107023111979167,360,0.000763,Viable,Dentro de umbrales esperados
Android,P-256,0.01629560277777778,21.473916666666664,0.1423721245659722,360,6.2e-05,Viable,Dentro de umbrales esperados
Android,P-384,0.017191738888888888,24.449694444444443,0.14296308051215276,360,9.3e-05,Viable,Dentro de umbrales esperados
Android,RSA,0.015770075,22.633888888888887,0.14337000868055555,360,0.00043000000000000004,Viable,Dentro de umbrales esperados
Android,X25519,0.01658211388888889,22.709055555555555,0.14266786024305556,360,3.1e-05,Viable,Dentro de umbrales esperados
Android,X448,0.09124874722222223,22.713472222222222,0.14359705946180557,360,5.3e-05,Viable,Dentro de umbrales esperados
Android,secp256k1,0.01781748611111111,24.019166666666667,0.1434439019097222,360,6.2e-05,Viable,Dentro de umbrales esperados
Android,sntrup761,0.01699293333333333,21.348305555555555,0.14221790907118056,360,0.001104,Viable,Dentro de umbrales esperados
IoT,BIKE-L1,0.07431870833333333,10.657638888888888,0.6392479383680555,360,0.0014700000000000002,Viable,Dentro de umbrales esperados
IoT,ClassicMcEliece,0.15841326666666666,10.010277777777777,0.6416354166666666,360,0.249023,No viable,Clave 0.249MB > 0.05MB
IoT,Diffie-Hellman,0.36982515555555556,9.111777777777776,0.6226030815972222,360,0.002352,Viable,Dentro de umbrales esperados
IoT,Diffie-Hellman-8192,19.07798186666667,9.636222222222223,0.6472307942708333,360,0.002352,No viable,Tiempo 19.078s > 0.4s
IoT,FrodoKEM,0.4278430833333333,5.663666666666667,0.6380330946180556,360,0.009171,No viable,Tiempo 0.428s > 0.4s
IoT,HQC-192,0.32169033888888887,12.36975,0.6380729166666667,360,0.004313,Viable,Dentro de umbrales esperados
IoT,Hybrid-Kyber-X25519,0.12259090555555555,12.257583333333333,0.6500230034722223,360,0.00108,Viable,Dentro de umbrales esperados
IoT,Kyber,0.0678709,10.394944444444445,0.6280514322916667,360,0.000763,Viable,Dentro de umbrales esperados
IoT,P-256,0.07695799444444444,11.675805555555556,0.6422966579861111,360,6.2e-05,Viable,Dentro de umbrales esperados
IoT,P-384,0.07982898055555555,12.348194444444445,0.6471231553819444,360,9.3e-05,Viable,Dentro de umbrales esperados
IoT,RSA,0.06468026111111111,11.666944444444445,0.6494791666666667,360,0.00043000000000000004,Viable,Dentro de umbrales esperados
IoT,X25519,0.07058016111111111,11.476333333333333,0.6446883680555556,360,3.1e-05,Viable,Dentro de umbrales esperados
IoT,X448,0.1315397138888889,11.816583333333334,0.6480098741319444,360,5.3e-05,Viable,Dentro de umbrales esperados
IoT,secp256k1,0.078369975,12.37175,0.6469408637152778,360,6.2e-05,Viable,Dentro de umbrales esperados
IoT,sntrup761,0.07468665277777778,10.297638888888889,0.6391289062500001,360,0.001104,Viable,Dentro de umbrales esperados
UNIQUE,BIKE-L1,0.01596165,33.20033333333333,0.017876395228843024,60,0.0014700000000000002,Viable,Dentro de umbrales esperados
UNIQUE,ClassicMcEliece,0.0187541,42.67216666666666,0.017959574865254468,60,0.249023,Viable,Dentro de umbrales esperados
UNIQUE,Diffie-Hellman,0.031343916666666666,37.96033333333333,0.01775274242081396,60,0.002352,Viable,Dentro de umbrales esperados
UNIQUE,Diffie-Hellman-8192,0.62225095,40.27733333333333,0.01763385116238696,60,0.002352,Viable,Dentro de umbrales esperados
UNIQUE,FrodoKEM,0.04680196666666667,24.634166666666665,0.01804488245082436,60,0.009171,Viable,Dentro de umbrales esperados
UNIQUE,HQC-192,0.023394916666666665,38.125,0.017820857862687868,60,0.004313,Viable,Dentro de umbrales esperados
UNIQUE,Hybrid-Kyber-X25519,0.09166035,34.9945,0.01812962117869843,60,0.00108,Viable,Dentro de umbrales esperados
UNIQUE,Kyber,0.01588395,33.699666666666666,0.0180335052969079,60,0.000763,Viable,Dentro de umbrales esperados
UNIQUE,P-256,0.015900166666666667,33.414833333333334,0.017688861808453395,60,6.2e-05,Viable,Dentro de umbrales esperados
